-DOCSTART- -X- O
Oriental -X- _ I-LOC
sa -X- _ O
sugyot -X- _ O
nga -X- _ O
i-postpone -X- _ O
ang -X- _ O
eleksyon -X- _ O
sa -X- _ O
Barangay -X- _ O
ug -X- _ O
Sangguniang -X- _ B-ORG
Kabataan -X- _ I-ORG
( -X- _ I-ORG
SK -X- _ I-ORG
) -X- _ I-ORG
sa -X- _ O
probinsya -X- _ O
nga -X- _ O
gitakda -X- _ O
karong -X- _ O
Oktubre. -X- _ O
Ilang -X- _ O
gisubli -X- _ O
ang -X- _ O
mga -X- _ O
kabalaka -X- _ O
bahin -X- _ O
sa -X- _ O
seguridad -X- _ O
lakip -X- _ O
na -X- _ O
ang -X- _ O
" -X- _ O
deep-rooted -X- _ O
fear -X- _ O
" -X- _ O
sa -X- _ O
mga -X- _ O
residente -X- _ O
sa -X- _ O
probinsya -X- _ O
human -X- _ O
sa -X- _ O
pagpatay -X- _ O
kang -X- _ O
Gov. -X- _ O
Roel -X- _ B-PER
Degamo. -X- _ I-PER
Lakip -X- _ O
sa -X- _ O
mga -X- _ O
nipirma -X- _ O
sa -X- _ O
manipesto -X- _ O
ang -X- _ O
biyuda -X- _ O
ni -X- _ O
Degamo -X- _ B-PER
nga -X- _ O
si -X- _ O
Janice -X- _ O
Degamo -X- _ O
sa -X- _ O
Pamplona -X- _ B-LOC
, -X- _ O
iyang -X- _ O
pag-umangkon -X- _ O
nga -X- _ O
si -X- _ O
Fritz -X- _ B-PER
Diaz -X- _ I-PER
sa -X- _ O
Siaton -X- _ B-LOC
, -X- _ O
ug -X- _ O
mga -X- _ O
kaalyado -X- _ O
nga -X- _ O
sila -X- _ O
si -X- _ O
Felipe -X- _ B-PER
Remollo -X- _ I-PER
sa -X- _ O
Dumaguete -X- _ B-LOC
City -X- _ I-LOC
, -X- _ O
Galicano -X- _ B-PER
Truita -X- _ I-PER
sa -X- _ O
Dauin -X- _ B-LOC
, -X- _ O
Mel -X- _ B-PER
Nick -X- _ I-PER
Logronio -X- _ I-PER
sa -X- _ O
San -X- _ B-LOC
Jose -X- _ I-LOC
, -X- _ O
Eniego -X- _ B-PER
Jabagat -X- _ I-PER
sa -X- _ O
Bindoy -X- _ B-LOC
, -X- _ O
Dennis -X- _ B-PER
Amancio -X- _ I-PER
sa -X- _ O
Ayungon -X- _ B-LOC
, -X- _ O
Filomeno -X- _ B-PER
Reyes -X- _ I-PER
sa -X- _ O
Guihulngan -X- _ B-LOC
City -X- _ I-LOC
, -X- _ O
ug -X- _ O
Susano -X- _ B-PER
Ruperto -X- _ I-PER
sa -X- _ O
Tayasan -X- _ B-LOC
. -X- _ O

LALAKI -X- _ O
SA -X- _ O
INDIA -X- _ B-LOC
, -X- _ O
NIPUYO -X- _ O
OG -X- _ O
DUL-AN -X- _ O
2 -X- _ O
KA -X- _ O
TUIG -X- _ O
SA -X- _ O
USA -X- _ O
KA -X- _ O
5-STAR -X- _ O
HOTEL -X- _ O
NGA -X- _ O
WALA’Y -X- _ O
BAYAD-BAYAD -X- _ O
Usa -X- _ O
ka -X- _ O
lalaki -X- _ O
ang -X- _ O
giimbestigaran -X- _ O
sa -X- _ O
kapulisan -X- _ O
sa -X- _ O
India -X- _ B-LOC
human -X- _ O
giingong -X- _ O
nagpuyo -X- _ O
kini -X- _ O
og -X- _ O
halos -X- _ O
duha -X- _ O
ka -X- _ O
tuig -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
five-star -X- _ O
hotel -X- _ O
sa -X- _ O
New -X- _ B-LOC
Delhi -X- _ I-LOC
nga -X- _ O
wala'y -X- _ O
bayad-bayad. -X- _ O
Nag-book -X- _ O
og -X- _ O
kwarto -X- _ O
si -X- _ O
Ankush -X- _ B-PER
Dutta -X- _ I-PER
sa -X- _ O
Roseate -X- _ B-LOC
House -X- _ I-LOC
hotel -X- _ I-LOC
niadtong -X- _ O
May -X- _ O
30 -X- _ O
, -X- _ O
2019 -X- _ O
ug -X- _ O
mo-check -X- _ O
out -X- _ O
unta -X- _ O
dayon -X- _ O
sa -X- _ O
sunod -X- _ O
adlaw. -X- _ O
Apan -X- _ O
na-extend -X- _ O
kini -X- _ O
og -X- _ O
603 -X- _ O
ka -X- _ O
mga -X- _ O
adlaw -X- _ O
hangtod -X- _ O
sa -X- _ O
iyang -X- _ O
pagbiya -X- _ O
niadtong -X- _ O
Jan. -X- _ O
22 -X- _ O
, -X- _ O
2021 -X- _ O
, -X- _ O
ug -X- _ O
gibiyaan -X- _ O
ang -X- _ O
iyang -X- _ O
$ -X- _ O
70,000 -X- _ O
nga -X- _ O
balayran. -X- _ O
Nipasaka -X- _ O
og -X- _ O
reklamo -X- _ O
sa -X- _ O
kapulisan -X- _ O
ang -X- _ O
hotel -X- _ O
managers -X- _ O
kontra -X- _ O
sa -X- _ O
pipila -X- _ O
ka -X- _ O
mga -X- _ O
empleyado -X- _ O
niini -X- _ O
tungod -X- _ O
sa -X- _ O
" -X- _ O
conspiracy -X- _ O
, -X- _ O
forgery -X- _ O
and -X- _ O
cheating. -X- _ O
" -X- _ O
Dugang -X- _ O
pa -X- _ O
, -X- _ O
giingong -X- _ O
gisuholan -X- _ O
ni -X- _ O
Dutta -X- _ B-PER
ang -X- _ O
pipila -X- _ O
ka -X- _ O
mga -X- _ O
kawani -X- _ O
sa -X- _ O
hotel -X- _ O
aron -X- _ O
pagmaniobra -X- _ O
sa -X- _ O
in-house -X- _ O
software -X- _ O
systems -X- _ O
. -X- _ O

Mao -X- _ O
kini -X- _ O
ang -X- _ O
hulagyway -X- _ O
ni -X- _ O
President -X- _ O
Ferdinand -X- _ B-PER
Marcos -X- _ I-PER
Jr. -X- _ I-PER
uban -X- _ O
sa -X- _ O
pipila -X- _ O
ka -X- _ O
mga -X- _ O
lokal -X- _ O
nga -X- _ O
opisyales -X- _ O
sa -X- _ O
probinsya -X- _ O
sa -X- _ O
Negros -X- _ B-LOC
Oriental. -X- _ I-LOC
Nakigpulong -X- _ O
ang -X- _ O
presidente -X- _ O
aron -X- _ O
hisgutan -X- _ O
ang -X- _ O
mga -X- _ O
isyu -X- _ O
bahin -X- _ O
sa -X- _ O
kalambuan -X- _ O
sa -X- _ O
probinsya. -X- _ O
Lakip -X- _ O
sa -X- _ O
mga -X- _ O
nakigpulong -X- _ O
ni -X- _ O
Marcos -X- _ B-PER
mao -X- _ O
sila -X- _ O
si -X- _ O
San -X- _ B-LOC
Jose -X- _ I-LOC
Mayor -X- _ O
Mel -X- _ B-PER
Nick -X- _ I-PER
Logronio -X- _ I-PER
, -X- _ O
Pamplona -X- _ B-LOC
Mayor -X- _ O
Janice -X- _ B-PER
Degamo -X- _ I-PER
, -X- _ O
ug -X- _ O
Siaton -X- _ B-LOC
Mayor -X- _ O
Fritz -X- _ B-PER
Diaz -X- _ I-PER
. -X- _ O

STATE -X- _ O
OF -X- _ O
CALAMITY -X- _ O
SA -X- _ O
TIBUOK -X- _ O
PILIPINAS -X- _ O
TUNGOD -X- _ O
SA -X- _ O
ASF -X- _ B-OTHER
, -X- _ O
GITUN-AN -X- _ O
Gitun-an -X- _ O
karon -X- _ O
sa -X- _ O
Department -X- _ B-ORG
of -X- _ I-ORG
Agriculture -X- _ I-ORG
( -X- _ I-ORG
DA -X- _ I-ORG
) -X- _ I-ORG
ang -X- _ O
pagsugyot -X- _ O
ngadto -X- _ O
ni -X- _ O
Pres. -X- _ O
Ferdinand -X- _ B-PER
Marcos -X- _ I-PER
Jr. -X- _ I-PER
nga -X- _ O
magdeklarar -X- _ O
og -X- _ O
state -X- _ O
of -X- _ O
calamity -X- _ O
taliwala -X- _ O
sa -X- _ O
pagkaylap -X- _ O
sa -X- _ O
African -X- _ B-OTHER
Swine -X- _ I-OTHER
Fever -X- _ I-OTHER
( -X- _ I-OTHER
ASF -X- _ I-OTHER
) -X- _ I-OTHER
sa -X- _ O
nasud. -X- _ O
Sumala -X- _ O
pa -X- _ O
sa -X- _ O
tigpamaba -X- _ O
sa -X- _ O
DA -X- _ B-ORG
nga -X- _ O
si -X- _ O
Kristine -X- _ B-PER
Evangelista -X- _ I-PER
, -X- _ O
nakigkoordinar -X- _ O
na -X- _ O
ang -X- _ O
ilang -X- _ O
ahensya -X- _ O
sa -X- _ O
Bureau -X- _ B-ORG
of -X- _ I-ORG
Animal -X- _ I-ORG
Industry -X- _ I-ORG
( -X- _ I-ORG
BAI -X- _ I-ORG
) -X- _ I-ORG
aron -X- _ O
pagpangita -X- _ O
og -X- _ O
mga -X- _ O
pamaagi -X- _ O
nga -X- _ O
matabangan -X- _ O
ang -X- _ O
mga -X- _ O
hog -X- _ O
raiser -X- _ O
nga -X- _ O
makakuha -X- _ O
og -X- _ O
ASF -X- _ B-OTHER
vaccines. -X- _ O
Gisubli -X- _ O
sab -X- _ O
ni -X- _ O
Evangelista -X- _ B-PER
nga -X- _ O
nagpatuman -X- _ O
na -X- _ O
sila -X- _ O
og -X- _ O
dugang -X- _ O
nga -X- _ O
mga -X- _ O
lakang -X- _ O
aron -X- _ O
mapunggan -X- _ O
ang -X- _ O
pagkuyanap -X- _ O
sa -X- _ O
swine -X- _ O
disease. -X- _ O
Matud -X- _ O
pa -X- _ O
ni -X- _ O
BAI -X- _ B-ORG
assistant -X- _ O
director -X- _ O
Arlene -X- _ B-PER
Vytiaco -X- _ I-PER
, -X- _ O
plano -X- _ O
sab -X- _ O
sa -X- _ O
ilang -X- _ O
ahensya -X- _ O
ang -X- _ O
pagpalit -X- _ O
og -X- _ O
600,000 -X- _ O
doses -X- _ O
sa -X- _ O
ASF -X- _ B-OTHER
vaccines -X- _ O
karong -X- _ O
tuiga -X- _ O
sa -X- _ O
dihang -X- _ O
maka-isyu -X- _ O
na -X- _ O
ang -X- _ O
Food -X- _ B-ORG
and -X- _ I-ORG
Drug -X- _ I-ORG
Administration -X- _ I-ORG
og -X- _ O
certificate -X- _ O
of -X- _ O
product -X- _ O
registration -X- _ O
. -X- _ O

MGA -X- _ O
HAYOP -X- _ O
SA -X- _ O
AMLAN -X- _ B-LOC
ZOO -X- _ I-LOC
, -X- _ O
IBALHIN -X- _ O
SA -X- _ O
AKLAN -X- _ B-LOC
Dal-on -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
private -X- _ O
farm -X- _ O
sa -X- _ O
Bukid -X- _ B-LOC
Tigayon -X- _ I-LOC
Kalibo -X- _ I-LOC
, -X- _ I-LOC
Aklan -X- _ I-LOC
ang -X- _ O
mga -X- _ O
hayop -X- _ O
sa -X- _ O
Amlan -X- _ B-ORG
Nature -X- _ I-ORG
and -X- _ I-ORG
Adventure -X- _ I-ORG
Park. -X- _ I-ORG
Ang -X- _ O
tag-iya -X- _ O
sa -X- _ O
Kalibo -X- _ B-LOC
Ostrich -X- _ I-LOC
Farm -X- _ I-LOC
nga -X- _ O
si -X- _ O
Ramon -X- _ B-PER
Dio -X- _ I-PER
ang -X- _ O
mobalhin -X- _ O
sa -X- _ O
kapin -X- _ O
80 -X- _ O
ka -X- _ O
mga -X- _ O
hayop -X- _ O
sa -X- _ O
maong -X- _ O
farm -X- _ O
kaabag -X- _ O
ang -X- _ O
Department -X- _ B-ORG
of -X- _ I-ORG
Environment -X- _ I-ORG
and -X- _ I-ORG
Natural -X- _ I-ORG
Resources -X- _ I-ORG
( -X- _ I-ORG
DENR -X- _ I-ORG
) -X- _ I-ORG
. -X- _ O
Nahibaloan -X- _ O
nga -X- _ O
ang -X- _ O
maong -X- _ O
farm -X- _ O
nagkulang -X- _ O
og -X- _ O
supply -X- _ O
sa -X- _ O
pagkaon -X- _ O
hinungdan -X- _ O
nga -X- _ O
ang -X- _ O
maong -X- _ O
mga -X- _ O
hayop -X- _ O
nagniwang -X- _ O
ug -X- _ O
nagkasakit -X- _ O
. -X- _ O

16 -X- _ O
KA -X- _ O
BULAN -X- _ O
NGA -X- _ O
BATA -X- _ O
, -X- _ O
PATAY -X- _ O
HUMAN -X- _ O
GIBIYAAN -X- _ O
OG -X- _ O
8 -X- _ O
KA -X- _ O
ADLAW -X- _ O
SA -X- _ O
INAHAN -X- _ O
ARON -X- _ O
MAGBAKASYON -X- _ O
Patay -X- _ O
na -X- _ O
nga -X- _ O
napalgan -X- _ O
ang -X- _ O
usa -X- _ O
ka -X- _ O
16 -X- _ O
ka -X- _ O
bulan -X- _ O
nga -X- _ O
batang -X- _ O
babayi -X- _ O
human -X- _ O
giingong -X- _ O
gibiyaan -X- _ O
siya -X- _ O
nga -X- _ O
nag-inusara -X- _ O
sa -X- _ O
iyang -X- _ O
inahan -X- _ O
sulod -X- _ O
sa -X- _ O
walo -X- _ O
ka -X- _ O
adlaw -X- _ O
samtang -X- _ O
kini -X- _ O
nagbakasyon. -X- _ O
Gidakop -X- _ O
sa -X- _ O
kapulisan -X- _ O
sa -X- _ O
Ohio -X- _ B-LOC
ang -X- _ O
inahan -X- _ O
sa -X- _ O
bata -X- _ O
nga -X- _ O
si -X- _ O
Kristel -X- _ B-PER
Candelario -X- _ I-PER
, -X- _ O
31 -X- _ O
anyos. -X- _ O
Sumala -X- _ O
pa -X- _ O
sa -X- _ O
awtoridad -X- _ O
, -X- _ O
napalgan -X- _ O
ni -X- _ O
Candelario -X- _ B-PER
ang -X- _ O
iyang -X- _ O
anak -X- _ O
nga -X- _ O
wala -X- _ O
na'y -X- _ O
kinabuhi -X- _ O
sa -X- _ O
dihang -X- _ O
nipauli -X- _ O
siya -X- _ O
gikan -X- _ O
sa -X- _ O
Puerto -X- _ B-LOC
Rico. -X- _ I-LOC
Bisan -X- _ O
pa -X- _ O
man -X- _ O
wala -X- _ O
gipagawas -X- _ O
sa -X- _ O
medical -X- _ O
examiner -X- _ O
ang -X- _ O
hinungdan -X- _ O
sa -X- _ O
kamatayon -X- _ O
, -X- _ O
gisubli -X- _ O
sa -X- _ O
imbestigador -X- _ O
nga -X- _ O
grabe -X- _ O
ka -X- _ O
dehydrated -X- _ O
ang -X- _ O
bata. -X- _ O
Matud -X- _ O
pa -X- _ O
sa -X- _ O
kapulisan -X- _ O
, -X- _ O
gibutyag -X- _ O
sa -X- _ O
mga -X- _ O
silingan -X- _ O
nga -X- _ O
ang -X- _ O
lola -X- _ O
sa -X- _ O
bata -X- _ O
mao'y -X- _ O
kalagmitang -X- _ O
magbantay -X- _ O
niini -X- _ O
tungod -X- _ O
hilig -X- _ O
gyud -X- _ O
nga -X- _ O
mogawas -X- _ O
ang -X- _ O
inahan -X- _ O
niini. -X- _ O
Pasakaan -X- _ O
og -X- _ O
kasong -X- _ O
pagpatay -X- _ O
ug -X- _ O
multa -X- _ O
nga -X- _ O
$ -X- _ O
1 -X- _ O
milyones -X- _ O
si -X- _ O
Candelario -X- _ B-PER
. -X- _ O

NEGROS -X- _ B-ORG
ORIENTAL -X- _ I-ORG
PROVINCIAL -X- _ I-ORG
HOSPITAL -X- _ I-ORG
, -X- _ O
NASUPLAYAN -X- _ O
OG -X- _ O
P10-M -X- _ O
NGA -X- _ O
DUGANG -X- _ O
TAMBAL -X- _ O
Naabot -X- _ O
na -X- _ O
kagahapong -X- _ O
adlawa -X- _ O
ang -X- _ O
mga -X- _ O
stock -X- _ O
sa -X- _ O
medisina -X- _ O
nga -X- _ O
nagkantidad -X- _ O
og -X- _ O
P10 -X- _ O
milyones -X- _ O
isip -X- _ O
paghatag -X- _ O
og -X- _ O
pagtagad -X- _ O
sa -X- _ O
suplay -X- _ O
sa -X- _ O
tambal -X- _ O
sa -X- _ O
ospital -X- _ O
ning -X- _ O
probinsya. -X- _ O
Dali -X- _ O
kining -X- _ O
gipapalit -X- _ O
sa -X- _ O
kagamhanan -X- _ O
sa -X- _ O
probinsya -X- _ O
aron -X- _ O
aduna'y -X- _ O
dugang -X- _ O
suplay -X- _ O
sa -X- _ O
tambal -X- _ O
ang -X- _ O
Negros -X- _ B-ORG
Oriental -X- _ I-ORG
Provincial -X- _ I-ORG
Hospital -X- _ I-ORG
ug -X- _ O
mahatag -X- _ O
kini -X- _ O
sa -X- _ O
mga -X- _ O
gakinahanglan -X- _ O
niini -X- _ O
. -X- _ O

Wala -X- _ O
pa'y -X- _ O
nakadaog -X- _ O
sa -X- _ O
kapin -X- _ O
P292 -X- _ O
milyones -X- _ O
nga -X- _ O
jackpot -X- _ O
prize -X- _ O
sa -X- _ O
Ultra -X- _ B-OTHER
Lotto -X- _ I-OTHER
6 -X- _ I-OTHER
/ -X- _ I-OTHER
58. -X- _ I-OTHER
Sumala -X- _ O
pa -X- _ O
sa -X- _ O
PCSO -X- _ B-ORG
, -X- _ O
wala'y -X- _ O
nakakuha -X- _ O
sa -X- _ O
winning -X- _ O
combination -X- _ O
sa -X- _ O
draw -X- _ O
niini -X- _ O
niadtong -X- _ O
Martes -X- _ O
, -X- _ O
Hunyo -X- _ O
20 -X- _ O
, -X- _ O
2023 -X- _ O
. -X- _ O

GIINGONG -X- _ O
ILLEGAL -X- _ O
QUARRY -X- _ O
SA -X- _ O
NEGROS -X- _ B-LOC
ORIENTAL -X- _ I-LOC
, -X- _ O
NADAKPAN -X- _ O
Nasikop -X- _ O
sa -X- _ O
Criminal -X- _ B-ORG
Investigation -X- _ I-ORG
and -X- _ I-ORG
Detection -X- _ I-ORG
Group -X- _ I-ORG
( -X- _ I-ORG
CIDG-PNP -X- _ I-ORG
) -X- _ I-ORG
ang -X- _ O
giingong -X- _ O
illegal -X- _ O
quarry -X- _ O
operation -X- _ O
nga -X- _ O
gikatahong -X- _ O
doul -X- _ O
sa -X- _ O
dakbayan -X- _ O
sa -X- _ O
Dumaguete. -X- _ B-LOC
Kini -X- _ O
human -X- _ O
gimandoan -X- _ O
ni -X- _ O
Negros -X- _ B-LOC
Oriental -X- _ I-LOC
Gov. -X- _ O
Manuel -X- _ B-PER
" -X- _ I-PER
Chaco -X- _ I-PER
" -X- _ I-PER
Sagarbarria -X- _ I-PER
ang -X- _ O
kapulisan -X- _ O
sa -X- _ O
paglanat -X- _ O
sa -X- _ O
mga -X- _ O
illegal -X- _ O
quarry -X- _ O
operation. -X- _ O
Usa -X- _ O
kini -X- _ O
sa -X- _ O
mga -X- _ O
dagkong -X- _ O
polisiya -X- _ O
nga -X- _ O
ipatuman -X- _ O
sa -X- _ O
probinsya -X- _ O
aron -X- _ O
pagpreserbar -X- _ O
sa -X- _ O
kinaiyahan. -X- _ O
Ang -X- _ O
direktiba -X- _ O
pinaagi -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
Memorandum -X- _ O
Order -X- _ O
nag-ingon -X- _ O
nga -X- _ O
" -X- _ O
pursuant -X- _ O
to -X- _ O
the -X- _ O
Local -X- _ O
Government -X- _ O
Code -X- _ O
, -X- _ O
the -X- _ O
provincial -X- _ O
Governor -X- _ O
has -X- _ O
the -X- _ O
exclusive -X- _ O
authority -X- _ O
to -X- _ O
issue -X- _ O
permit -X- _ O
to -X- _ O
extract -X- _ O
sand -X- _ O
, -X- _ O
gravel -X- _ O
, -X- _ O
and -X- _ O
other -X- _ O
quarry -X- _ O
resources. -X- _ O
" -X- _ O
Masiguro -X- _ O
niini -X- _ O
nga -X- _ O
hugot -X- _ O
nga -X- _ O
masunod -X- _ O
sa -X- _ O
tanang -X- _ O
quarry -X- _ O
operators -X- _ O
ug -X- _ O
ilang -X- _ O
operasyon -X- _ O
sa -X- _ O
probinsya -X- _ O
ang -X- _ O
mga -X- _ O
lagda -X- _ O
ug -X- _ O
regulasyon -X- _ O
sa -X- _ O
quarry -X- _ O
permit -X- _ O
. -X- _ O

JOB -X- _ O
ORDER -X- _ O
UG -X- _ O
CONTRACT -X- _ O
OF -X- _ O
SERVICE -X- _ O
WORKERS -X- _ O
SA -X- _ O
DGTE -X- _ B-LOC
, -X- _ O
MAKADAWAT -X- _ O
OG -X- _ O
25KG -X- _ O
NGA -X- _ O
BUGAS -X- _ O
Makadawat -X- _ O
og -X- _ O
25kg -X- _ O
nga -X- _ O
ayudang -X- _ O
bugas -X- _ O
ang -X- _ O
matag -X- _ O
usa -X- _ O
sa -X- _ O
1,510 -X- _ O
ka -X- _ O
mga -X- _ O
Contract -X- _ B-OTHER
of -X- _ I-OTHER
Service -X- _ I-OTHER
ug -X- _ O
Job -X- _ O
Order -X- _ O
workers -X- _ O
sa -X- _ O
LGU-Dumaguete -X- _ B-ORG
karong -X- _ O
Miyerkules -X- _ O
ug -X- _ O
Huwebes -X- _ O
sa -X- _ O
City -X- _ O
Hall -X- _ O
Grounds. -X- _ O
Sa -X- _ O
usa -X- _ O
ka -X- _ O
memorandum -X- _ O
, -X- _ O
gisiguro -X- _ O
sab -X- _ O
nga -X- _ O
magpadayon -X- _ O
ang -X- _ O
operasyon -X- _ O
sa -X- _ O
kagamhanang -X- _ O
syudad -X- _ O
ug -X- _ O
kahapsay -X- _ O
niini -X- _ O
atol -X- _ O
sa -X- _ O
naasoy -X- _ O
nga -X- _ O
mga -X- _ O
adlaw -X- _ O
. -X- _ O

PLDT -X- _ B-ORG
, -X- _ O
NAGSUGYOT -X- _ O
OG -X- _ O
PAMAAGI -X- _ O
ARON -X- _ O
MAPAKUSGAN -X- _ O
ANG -X- _ O
CCTV -X- _ O
SA -X- _ O
DUMAGUETE -X- _ B-LOC
; -X- _ O
POSIBLENG -X- _ O
MAGTAOD -X- _ O
SAB -X- _ O
OG -X- _ O
PUBLIC -X- _ O
WIFI -X- _ O
UG -X- _ O
TRAFFIC -X- _ O
LIGHTS -X- _ O
Gisugyot -X- _ O
sa -X- _ O
Philippine -X- _ B-ORG
Long -X- _ I-ORG
Distance -X- _ I-ORG
Incorporated -X- _ I-ORG
( -X- _ B-ORG
PLDT -X- _ I-ORG
) -X- _ I-ORG
uban -X- _ O
sa -X- _ O
Fortinet -X- _ B-ORG
ang -X- _ O
ilang -X- _ O
gi-bundle -X- _ O
nga -X- _ O
high -X- _ O
grade -X- _ O
equipment -X- _ O
uban -X- _ O
sa -X- _ O
ilang -X- _ O
lig-on -X- _ O
nga -X- _ O
network. -X- _ O
Maminusan -X- _ O
niini -X- _ O
ang -X- _ O
pagkawala -X- _ O
sa -X- _ O
feed -X- _ O
sa -X- _ O
mga -X- _ O
CCTV -X- _ O
camera -X- _ O
kun -X- _ O
ugaling -X- _ O
maputol -X- _ O
ang -X- _ O
mga -X- _ O
fiber -X- _ O
optic -X- _ O
cable -X- _ O
niini -X- _ O
tungod -X- _ O
sa -X- _ O
mga -X- _ O
wala -X- _ O
damhang -X- _ O
insidente. -X- _ O
Gipresentar -X- _ O
kini -X- _ O
nila -X- _ O
ngadto -X- _ O
ni -X- _ O
Mayor -X- _ O
Felipe -X- _ B-PER
Remollo -X- _ I-PER
ug -X- _ O
sa -X- _ O
ubang -X- _ O
hingtungdan -X- _ O
nga -X- _ O
kawani -X- _ O
sa -X- _ O
LGU. -X- _ B-ORG
Kung -X- _ O
maaprobahan -X- _ O
ang -X- _ O
gisugyot -X- _ O
nga -X- _ O
solusyon -X- _ O
sa -X- _ O
Fortiner -X- _ B-ORG
SDWAN -X- _ I-ORG
, -X- _ O
magsilbi -X- _ O
sab -X- _ O
kini -X- _ O
nga -X- _ O
pamaagi -X- _ O
aron -X- _ O
pag-install -X- _ O
og -X- _ O
public -X- _ O
wifi -X- _ O
ug -X- _ O
intelligent -X- _ O
traffic -X- _ O
lights -X- _ O
systems -X- _ O
. -X- _ O

BABAYI -X- _ O
SA -X- _ O
ECUADOR -X- _ B-LOC
NGA -X- _ O
NAKAMATA -X- _ O
SULOD -X- _ O
SA -X- _ O
IYANG -X- _ O
LUNGON -X- _ O
, -X- _ O
TINUOD -X- _ O
NA -X- _ O
NGA -X- _ O
PATAY -X- _ O
Tinuod -X- _ O
na -X- _ O
nga -X- _ O
namatay -X- _ O
ang -X- _ O
usa -X- _ O
ka -X- _ O
tigulang -X- _ O
nga -X- _ O
babayi -X- _ O
sa -X- _ O
Ecuador -X- _ B-LOC
kinsa -X- _ O
kaniadto -X- _ O
nakamata -X- _ O
sulod -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
lungon -X- _ O
sa -X- _ O
iyang -X- _ O
kaugalingong -X- _ O
haya. -X- _ O
Sa -X- _ O
niaging -X- _ O
semana -X- _ O
, -X- _ O
nag-viral -X- _ O
sa -X- _ O
social -X- _ O
media -X- _ O
ang -X- _ O
video -X- _ O
ni -X- _ O
