-DOCSTART- -X- O
nitabang -X- _ O
sa -X- _ O
rehabilitasyon -X- _ O
sa -X- _ O
Bogo -X- _ B-LOC
City -X- _ I-LOC
human -X- _ O
ang -X- _ O
bagyong -X- _ O
Yolanda -X- _ B-OTHER
niadtong -X- _ O
2013 -X- _ O
. -X- _ O

Ang -X- _ O
usa -X- _ O
sa -X- _ O
mga -X- _ O
dalagita -X- _ O
nga -X- _ O
kuyog -X- _ O
sa -X- _ O
langyaw -X- _ O
, -X- _ O
nihimakak -X- _ O
nga -X- _ O
may -X- _ O
pagpangabuso -X- _ O
nga -X- _ O
himuon -X- _ O
ang -X- _ O
langyaw -X- _ O
kanila -X- _ O
bugti -X- _ O
sa -X- _ O
iyang -X- _ O
pagtabang -X- _ O
ug -X- _ O
paglibre -X- _ O
kanila -X- _ O
. -X- _ O

Matod -X- _ O
niya -X- _ O
, -X- _ O
matag -X- _ O
anhi -X- _ O
ni -X- _ O
Ken -X- _ B-PER
ubanon -X- _ O
sila -X- _ O
niini -X- _ O
sa -X- _ O
pag- -X- _ O
travel -X- _ O
. -X- _ O

Gihikay -X- _ O
na -X- _ O
sa -X- _ O
Carbon -X- _ B-ORG
Police -X- _ I-ORG
Station -X- _ I-ORG
ang -X- _ O
mga -X- _ O
dokumento -X- _ O
alang -X- _ O
sa -X- _ O
pagpasaka -X- _ O
og -X- _ O
tukmang -X- _ O
kaso -X- _ O
batok -X- _ O
sa -X- _ O
langyaw -X- _ O
. -X- _ O

Lakip -X- _ O
sa -X- _ O
gisukit-sukit -X- _ O
sa -X- _ O
mga -X- _ O
pulis -X- _ O
ang -X- _ O
ginikanan -X- _ O
sa -X- _ O
mga -X- _ O
bata -X- _ O
nga -X- _ O
kuyog -X- _ O
niini -X- _ O
. -X- _ O

Mokabat -X- _ O
sa -X- _ O
15 -X- _ O
ka -X- _ O
mga -X- _ O
tawo -X- _ O
ang -X- _ O
nangaangol -X- _ O
sa -X- _ O
pabuto -X- _ O
, -X- _ O
apan -X- _ O
way -X- _ O
naangol -X- _ O
tungod -X- _ O
sa -X- _ O
saag -X- _ O
nga -X- _ O
mga -X- _ O
bala -X- _ O
sukad -X- _ O
sa -X- _ O
gabii -X- _ O
sa -X- _ O
Pasko -X- _ B-OTHER
hangtod -X- _ O
kagahapon -X- _ O
, -X- _ O
matod -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
opisyal -X- _ O
sa -X- _ O
Department -X- _ B-ORG
of -X- _ I-ORG
Health -X- _ I-ORG
( -X- _ I-ORG
DOH -X- _ I-ORG
) -X- _ I-ORG
7 -X- _ I-ORG
. -X- _ O

Tulo -X- _ O
ka -X- _ O
mga -X- _ O
tawo -X- _ O
ang -X- _ O
nabut­han -X- _ O
og -X- _ O
pabuto -X- _ O
atol -X- _ O
sa -X- _ O
pagsaulog -X- _ O
sa -X- _ O
Pasko -X- _ 
sa -X- _ O
dakbayan -X- _ O
sa -X- _ O
Lapu-Lapu -X- _ B-LOC
samtang -X- _ O
usa -X- _ O
ka -X- _ O
balay -X- _ O
kansang -X- _ O
kisame -X- _ O
nalungag -X- _ O
gumikan -X- _ O
sa -X- _ O
stray -X- _ O
bullet -X- _ O
. -X- _ O

Sa -X- _ O
pagka-gabii -X- _ O
sa -X- _ O
Disyembre -X- _ O
24 -X- _ O
ug -X- _ O
25 -X- _ O
nadala -X- _ O
sa -X- _ O
tambalanan -X- _ O
ang -X- _ O
mga -X- _ O
biktima -X- _ O
sa -X- _ O
dihang -X- _ O
ang -X- _ O
8 -X- _ O
anyos -X- _ O
nga -X- _ O
si -X- _ O
Inot -X- _ B-PER
naka-angkon -X- _ O
og -X- _ O
paso -X- _ O
sa -X- _ O
nawong -X- _ O
ug -X- _ O
gamay -X- _ O
nga -X- _ O
gisi -X- _ O
sa -X- _ O
iyang -X- _ O
ngabil -X- _ O
sa -X- _ O
dihang -X- _ O
nabuthan -X- _ O
sa -X- _ O
whistle -X- _ O
bomb -X- _ O
. -X- _ O

Si -X- _ O
Capitan -X- _ O
nabuthan -X- _ O
sa -X- _ O
tuo -X- _ O
nga -X- _ O
mata -X- _ O
samtang -X- _ O
wa -X- _ O
matino -X- _ O
kon -X- _ O
asa -X- _ O
ang -X- _ O
paso -X- _ O
o -X- _ O
samad -X- _ O
nga -X- _ O
naangkon -X- _ O
ni -X- _ O
Agnes -X- _ B-PER
. -X- _ O

Sa -X- _ O
laing -X- _ O
bahin -X- _ O
, -X- _ O
usa -X- _ O
ka -X- _ O
ginang -X- _ O
nga -X- _ O
taga-barangay -X- _ B-LOC
Bankal -X- _ I-LOC
ang -X- _ O
mi-post -X- _ O
sa -X- _ O
iyang -X- _ O
kasinatian -X- _ O
sa -X- _ O
Pasko -X- _ O
diin -X- _ O
nipadayag -X- _ O
sa -X- _ O
iyang -X- _ O
kabalaka -X- _ O
human -X- _ O
ang -X- _ O
kisame -X- _ O
sa -X- _ O
ilang -X- _ O
balay -X- _ O
nabuslot -X- _ O
gumikan -X- _ O
sa -X- _ O
saag -X- _ O
nga -X- _ O
bala -X- _ O
nga -X- _ O
mitugpa -X- _ O
. -X- _ O

Nanawagan -X- _ O
si -X- _ O
Carreon -X- _ B-PER
sa -X- _ O
kapulisan -X- _ O
nga -X- _ O
palapdan -X- _ O
pa -X- _ O
ang -X- _ O
ilang -X- _ O
monitoring -X- _ O
ug -X- _ O
supervision -X- _ O
alang -X- _ O
sa -X- _ O
mas -X- _ O
luwas -X- _ O
nga -X- _ O
kasaulogan -X- _ O
, -X- _ O
ilabi -X- _ O
na -X- _ O
nga -X- _ O
naghinangat -X- _ O
ang -X- _ O
Bag-ong -X- _ O
Tuig -X- _ O
. -X- _ O

Bisan -X- _ O
pa -X- _ O
sa -X- _ O
mao -X- _ O
nga -X- _ O
mga -X- _ O
hitabo -X- _ O
, -X- _ O
kapulisan -X- _ O
sa -X- _ O
Central -X- _ B-LOC
Visayas -X- _ I-LOC
mihulagway -X- _ O
nga -X- _ O
malinawon -X- _ O
ug -X- _ O
hapsay -X- _ O
ang -X- _ O
pagsaulog -X- _ O
sa -X- _ O
Pasko -X- _ B-OTHER
karong -X- _ O
tuiga -X- _ O
itandi -X- _ O
sa -X- _ O
milabayng -X- _ O
tuig -X- _ O
samtang -X- _ O
menos -X- _ O
usab -X- _ O
ang -X- _ O
biktima -X- _ O
sa -X- _ O
pabuto -X- _ O
tungod -X- _ O
sa -X- _ O
pasidaan -X- _ O
sa -X- _ O
kapulisan -X- _ O
. -X- _ O

Ang -X- _ O
traffic -X- _ O
enforcers -X- _ O
sa -X- _ O
Talisay -X- _ B-LOC
City -X- _ I-LOC
ug -X- _ O
lungsod -X- _ O
sa -X- _ O
Minglanilla -X- _ B-LOC
nanghimakak -X- _ O
sa -X- _ O
mga -X- _ O
alegasyon -X- _ O
sa -X- _ O
social -X- _ O
media -X- _ O
nga -X- _ O
wa -X- _ O
silay -X- _ O
gihimo -X- _ O
sa -X- _ O
pagsulbad -X- _ O
sa -X- _ O
grabeng -X- _ O
paghuot -X- _ O
sa -X- _ O
trapiko -X- _ O
sa -X- _ O
Cebu -X- _ B-LOC
South -X- _ I-LOC
Coastal -X- _ I-LOC
Road -X- _ I-LOC
niadtong -X- _ O
Sabado -X- _ O
. -X- _ O

Labing -X- _ O
minos -X- _ O
10 -X- _ O
ka -X- _ O
oras -X- _ O
nga -X- _ O
wa -X- _ O
hapit -X- _ O
makairog -X- _ O
ang -X- _ O
trapiko -X- _ O
niadtong -X- _ O
Sabado -X- _ O
, -X- _ O
gikan -X- _ O
sa -X- _ O
hapon -X- _ O
, -X- _ O
hangtod -X- _ O
na -X- _ O
nianang -X- _ O
gabii -X- _ O
. -X- _ O

Gibasol -X- _ O
ni -X- _ O
de -X- _ B-PER
la -X- _ I-PER
Peña -X- _ I-PER
ang -X- _ O
upat -X- _ O
ka -X- _ O
mga -X- _ O
aksidente -X- _ O
sa -X- _ O
sakyanan -X- _ O
nga -X- _ O
gitaho -X- _ O
nga -X- _ O
nahitabo -X- _ O
sa -X- _ O
samang -X- _ O
oras -X- _ O
sa -X- _ O
dapit -X- _ O
ubos -X- _ O
sa -X- _ O
jurisdiction -X- _ O
sa -X- _ O
Minglanilla -X- _ B-LOC
. -X- _ O

Matod -X- _ O
ni -X- _ O
de -X- _ B-PER
la -X- _ I-PER
Peña -X- _ I-PER
nga -X- _ O
ilang -X- _ O
gitawag -X- _ O
ang -X- _ O
ilang -X- _ O
mga -X- _ O
kauban -X- _ O
sa -X- _ O
Minglanilla -X- _ B-LOC
, -X- _ O
apan -X- _ O
way -X- _ O
bisan -X- _ O
usa -X- _ O
nga -X- _ O
nanubag -X- _ O
. -X- _ O

Tungod -X- _ O
niini -X- _ O
, -X- _ O
nanawag -X- _ O
sila -X- _ O
sa -X- _ O
Minglanilla -X- _ B-ORG
Police -X- _ I-ORG
Station -X- _ I-ORG
aron -X- _ O
magpatabang -X- _ O
. -X- _ O

Samtang -X- _ O
di -X- _ O
tinuod -X- _ O
nga -X- _ O
way -X- _ O
traffic -X- _ O
enforcers -X- _ O
sa -X- _ O
lungsod -X- _ O
sa -X- _ O
Minglanilla -X- _ B-LOC
niadtong -X- _ O
Sabado -X- _ O
. -X- _ O

Mga -X- _ O
opisyal -X- _ O
sa -X- _ O
lungsod -X- _ O
nakadawat -X- _ O
og -X- _ O
mga -X- _ O
pagsaway -X- _ O
, -X- _ O
labina -X- _ O
sa -X- _ O
social -X- _ O
media -X- _ O
, -X- _ O
human -X- _ O
natanggong -X- _ O
sa -X- _ O
karsada -X- _ O
. -X- _ O

Ang -X- _ O
kahuot -X- _ O
sa -X- _ O
trapiko -X- _ O
naggikan -X- _ O
pa -X- _ O
sa -X- _ O
dakbayan -X- _ O
sa -X- _ O
Talisay -X- _ B-LOC
lahos -X- _ O
na -X- _ O
sa -X- _ O
lungsod -X- _ O
sa -X- _ O
Minglanilla -X- _ B-LOC
. -X- _ O

Si -X- _ O
municipal -X- _ O
administrator -X- _ O
Concordio -X- _ B-PER
Mejias -X- _ I-PER
niingon -X- _ O
nga -X- _ O
siya -X- _ O
mismo -X- _ O
natanggong -X- _ O
usab -X- _ O
sa -X- _ O
trapiko -X- _ O
niadtong -X- _ O
higayona -X- _ O
og -X- _ O
duha -X- _ O
usab -X- _ O
ka -X- _ O
oras -X- _ O
nianang -X- _ O
gabii -X- _ O
. -X- _ O

Matod -X- _ O
niya -X- _ O
nga -X- _ O
dili -X- _ O
lang -X- _ O
ang -X- _ O
lungsod -X- _ O
sa -X- _ O
Minglanilla -X- _ B-LOC
ang -X- _ O
grabeng -X- _ O
trapik -X- _ O
, -X- _ O
apil -X- _ O
na -X- _ O
usab -X- _ O
ang -X- _ O
Cebu -X- _ B-LOC
city -X- _ I-LOC
, -X- _ O
Talisay -X- _ B-LOC
, -X- _ O
Naga -X- _ B-LOC
, -X- _ O
San -X- _ B-LOC
Fernando -X- _ I-LOC
hangtod -X- _ O
na -X- _ O
siyudad -X- _ O
sa -X- _ O
Carcar -X- _ B-LOC
. -X- _ O

Iya -X- _ O
usab -X- _ O
nga -X- _ O
gihimakak -X- _ O
nga -X- _ O
nag-party -X- _ O
ang -X- _ O
mga -X- _ O
traffic -X- _ O
enforcers -X- _ O
sa -X- _ O
maong -X- _ O
adlaw -X- _ O
, -X- _ O
hinungdan -X- _ O
nga -X- _ O
walay -X- _ O
makita -X- _ O
nga -X- _ O
enforcers -X- _ O
. -X- _ O

Nagkanayon -X- _ O
si -X- _ O
Mejias -X- _ B-PER
nga -X- _ O
igo -X- _ O
lang -X- _ O
silang -X- _ O
naniudto -X- _ O
ug -X- _ O
human -X- _ O
sa -X- _ O
paniudto -X- _ O
, -X- _ O
mibalik -X- _ O
ra -X- _ O
usab -X- _ O
sila -X- _ O
dayon -X- _ O
sa -X- _ O
ilang -X- _ O
puwesto -X- _ O
. -X- _ O

Usa -X- _ O
ka -X- _ O
taxi -X- _ O
driver -X- _ O
nga -X- _ O
nahinabi -X- _ O
sa -X- _ O
Superbalita -X- _ B-ORG
Cebu -X- _ I-ORG
nibutyag -X- _ O
nga -X- _ O
mga -X- _ O
alas -X- _ O
3 -X- _ O
sa -X- _ O
hapon -X- _ O
siyang -X- _ O
nihatod -X- _ O
sa -X- _ O
iyang -X- _ O
pasahero -X- _ O
sa -X- _ O
dakbayan -X- _ O
sa -X- _ O
Naga -X- _ B-LOC
gikan -X- _ O
sa -X- _ O
Tabunok -X- _ B-LOC
, -X- _ I-LOC
Talisay -X- _ I-LOC
City -X- _ I-LOC
. -X- _ O

Niabot -X- _ O
sila -X- _ O
sa -X- _ O
Naga -X- _ B-LOC
mga -X- _ O
alas -X- _ O
8 -X- _ O
na -X- _ O
hapit -X- _ O
sa -X- _ O
gabii -X- _ O
tungod -X- _ O
sa -X- _ O
kahuot -X- _ O
sa -X- _ O
trapiko -X- _ O
. -X- _ O

Niabot -X- _ O
siya -X- _ O
sa -X- _ O
Cebu -X- _ B-LOC
City -X- _ I-LOC
mga -X- _ O
alas -X- _ O
11 -X- _ O
na -X- _ O
pasado -X- _ O
sa -X- _ O
gabii -X- _ O
. -X- _ O

Alkanse -X- _ O
tong -X- _ O
biyahia -X- _ O
kay -X- _ O
P700 -X- _ O
kapin -X- _ O
rang -X- _ O
patak -X- _ O
. -X- _ O

Tungod -X- _ O
sa -X- _ O
gilantawan -X- _ O
nga -X- _ O
tingsakay -X- _ O
sa -X- _ O
paghinangat -X- _ O
sa -X- _ O
Bag-ong -X- _ O
Tuig -X- _ O
, -X- _ O
ang -X- _ O
mga -X- _ O
tinugyanan -X- _ O
sa -X- _ O
Cebu -X- _ B-ORG
South -X- _ I-ORG
Bus -X- _ I-ORG
Terminal -X- _ I-ORG
nanawagan -X- _ O
ug -X- _ O
nihangyo -X- _ O
karon -X- _ O
sa -X- _ O
mga -X- _ O
police -X- _ O
station -X- _ O
sa -X- _ O
matag -X- _ O
lungsod -X- _ O
nga -X- _ O
mag-deploy -X- _ O
og -X- _ O
personnel -X- _ O
nga -X- _ O
makatabang -X- _ O
sa -X- _ O
pagdumala -X- _ O
sa -X- _ O
trapiko -X- _ O
. -X- _ O

Usa -X- _ O
sa -X- _ O
nakitang -X- _ O
hinungdan -X- _ O
nganong -X- _ O
mangatanggong -X- _ O
ang -X- _ O
mga -X- _ O
pasahero -X- _ O
diha -X- _ O
sa -X- _ O
terminal -X- _ O
mao -X- _ O
ang -X- _ O
kalangay -X- _ O
usab -X- _ O
sa -X- _ O
pagbalik -X- _ O
sa -X- _ O
mga -X- _ O
bus -X- _ O
tungod -X- _ O
sa -X- _ O
grabeng -X- _ O
traffic -X- _ O
. -X- _ O

Gikan -X- _ O
Disyembre -X- _ O
22 -X- _ O
hangtud -X- _ O
Disyembre -X- _ O
25 -X- _ O
, -X- _ O
anaa -X- _ O
sa -X- _ O
kapin -X- _ O
131,000 -X- _ O
ka -X- _ O
mga -X- _ O
pasahero -X- _ O
ang -X- _ O
gibana-banang -X- _ O
nidagsa -X- _ O
sa -X- _ O
CSBT -X- _ B-LOC
. -X- _ O

Kini -X- _ O
base -X- _ O
usab -X- _ O
sa -X- _ O
natala -X- _ O
nga -X- _ O
mga -X- _ O
bus -X- _ O
trips -X- _ O
nga -X- _ O
niabot -X- _ O
og -X- _ O
592 -X- _ O
niadtong -X- _ O
Biyernes -X- _ O
, -X- _ O
579 -X- _ O
niadtong -X- _ O
Sabado -X- _ O
, -X- _ O
655 -X- _ O
niadtong -X- _ O
Domingo -X- _ O
ug -X- _ O
556 -X- _ O
niadtong -X- _ O
Lunes -X- _ O
, -X- _ O
adlaw -X- _ O
sa -X- _ O
Pasko -X- _ O
. -X- _ O

Apan -X- _ O
matod -X- _ O
ni -X- _ O
CBST -X- _ B-ORG
Operations -X- _ O
Manager -X- _ O
Joey -X- _ B-PER
Herrera -X- _ I-PER
, -X- _ O
anaa -X- _ O
sa -X- _ O
700 -X- _ O
ang -X- _ O
average -X- _ O
bus -X- _ O
trips -X- _ O
nga -X- _ O
ilang -X- _ O
matala -X- _ O
panahon -X- _ O
sa -X- _ O
tingsakay -X- _ O
. -X- _ O

Ang -X- _ O
pag-menus -X- _ O
sa -X- _ O
bus -X- _ O
trip -X- _ O
atol -X- _ O
sa -X- _ O
tingsakay -X- _ O
pagsugat -X- _ O
sa -X- _ O
Pasko -X- _ O
gitumbok -X- _ O
ni -X- _ O
Herrera -X- _ B-PER
nga -X- _ O
tungod -X- _ O
sa -X- _ O
kalangay -X- _ O
pagbalik -X- _ O
sa -X- _ O
mga -X- _ O
bus -X- _ O
gikan -X- _ O
sa -X- _ O
ilang -X- _ O
biyahe -X- _ O
sa -X- _ O
habagatang -X- _ O
Sugbo -X- _ B-LOC
. -X- _ O

Sigun -X- _ O
sa -X- _ O
CSBT -X- _ B-ORG
management -X- _ O
, -X- _ O
ang -X- _ O
grabeng -X- _ O
traffic -X- _ O
maoy -X- _ O
hinungdan -X- _ O
nganong -X- _ O
dugay -X- _ O
makabalik -X- _ O
ang -X- _ O
mga -X- _ O
bus -X- _ O
ug -X- _ O
maoy -X- _ O
nakaingon -X- _ O
nganong -X- _ O
daghan -X- _ O
ang -X- _ O
mangatanggong -X- _ O
nga -X- _ O
pasahero -X- _ O
diha -X- _ O
sa -X- _ O
terminal -X- _ O
. -X- _ O

Niadtong -X- _ O
Sabado -X- _ O
, -X- _ O
ang -X- _ O
security -X- _ O
manager -X- _ O
sa -X- _ O
terminal -X- _ O
nga -X- _ O
si -X- _ O
Joy -X- _ B-PER
Tumulak -X- _ I-PER
, -X- _ O
personal -X- _ O
nga -X- _ O
nihangyo -X- _ O
sa -X- _ O
Police -X- _ O
Regional -X- _ O
Office -X- _ O
7 -X- _ O
nga -X- _ O
mag-deploy -X- _ O
og -X- _ O
mga -X- _ O
pulis -X- _ O
nga -X- _ O
makatabang -X- _ O
pagbantay -X- _ O
sa -X- _ O
trapiko -X- _ O
sa -X- _ O
mga -X- _ O
lungsod -X- _ O
sa -X- _ O
southern -X- _ O
Cebu -X- _ B-LOC
, -X- _ O
butang -X- _ O
nga -X- _ O
gipatalinghugan -X- _ O
dayon -X- _ O
ni -X- _ O
Chief -X- _ O
Supt. -X- _ O
Mario -X- _ B-PER
Espino -X- _ I-PER
. -X- _ O

Ang -X- _ O
lungsod -X- _ O
sa -X- _ O
Minglanilla -X- _ B-LOC
maoy -X- _ O
gitumbok -X- _ O
sa -X- _ O
terminal -X- _ O
ug -X- _ O
bisan -X- _ O
gani -X- _ O
sa -X- _ O
mga -X- _ O
pasahero -X- _ O
, -X- _ O
diin -X- _ O
nasinati -X- _ O
ang -X- _ O
grabeng -X- _ O
kahuot -X- _ O
sa -X- _ O
trapiko -X- _ O
. -X- _ O

Giingong -X- _ O
way -X- _ O
nakita -X- _ O
nga -X- _ O
mga -X- _ O
traffic -X- _ O
enforcer -X- _ O
sa -X- _ O
maong -X- _ O
lungsod -X- _ O
niadtong -X- _ O
Sabado -X- _ O
tungod -X- _ O
kay -X- _ O
nagpahigayon -X- _ O
sila -X- _ O
sa -X- _ O
ilang -X- _ O
Christmas -X- _ O
party -X- _ O
, -X- _ O
nga -X- _ O
gihimakak -X- _ O
usab -X- _ O
sa -X- _ O
opisyal -X- _ O
sa -X- _ O
mao -X- _ O
nga -X- _ O
lungsod -X- _ O
. -X- _ O

Daghang -X- _ O
mga -X- _ O
netizen -X- _ O
ang -X- _ O
nakasaway -X- _ O
sa -X- _ O
mga -X- _ O
traffic -X- _ O
enforcer -X- _ O
sa -X- _ O
Minglanilla -X- _ B-LOC
kay -X- _ O
wa -X- _ O
nila -X- _ O
makit-i -X- _ O
dihang -X- _ O
naghuot -X- _ O
ug -X- _ O
wa -X- _ O
na -X- _ O
hapit -X- _ O
makairog -X- _ O
ang -X- _ O
taas -X- _ O
nga -X- _ O
trapiko -X- _ O
padung -X- _ O
sa -X- _ O
habagatan -X- _ O
ug -X- _ O
dakbayan -X- _ O
sa -X- _ O
Sugbo -X- _ B-LOC
. -X- _ O

Patay -X- _ O
ang -X- _ O
usa -X- _ O
ka -X- _ O
security -X- _ O
guard -X- _ O
nga -X- _ O
hubog -X- _ O
nagmaniho -X- _ O
sa -X- _ O
iyang -X- _ O
motorsiklo -X- _ O
ug -X- _ O
nakabangga -X- _ O
sa -X- _ O
gikasugat -X- _ O
nga -X- _ O
laing -X- _ O
motorsiklo -X- _ O
atol -X- _ O
sa -X- _ O
Pasko -X- _ O
sa -X- _ O
national -X- _ O
highway -X- _ O
sa -X- _ O
Barangay -X- _ B-LOC
Fuente -X- _ I-LOC
, -X- _ O
lungsod -X- _ O
sa -X- _ O
Carmen -X- _ B-LOC
. -X- _ O

Si -X- _ O
Ian -X- _ B-PER
Vincent -X- _ I-PER
Perales -X- _ I-PER
, -X- _ O
29 -X- _ O
minyo -X- _ O
taga -X- _ O
Barangay -X- _ B-LOC
Poblacion -X- _ I-LOC
Carmen -X- _ I-LOC
, -X- _ O
DOA -X- _ O
sa -X- _ O
tambalanan -X- _ O
samtang -X- _ O
grabe -X- _ O
ang -X- _ O
kahimtang -X- _ O
ni -X- _ O
Flaviano -X- _ B-PER
Ornopia -X- _ I-PER
, -X- _ O
31 -X- _ O
, -X- _ O
usa -X- _ O
ka -X- _ O
security -X- _ O
guard -X- _ O
taga -X- _ O
Barangay -X- _ B-LOC
Cogon -X- _ I-LOC
, -X- _ O
lungsud -X- _ O
sa -X- _ O
Tabogon -X- _ B-LOC
. -X- _ O

Si -X- _ O
Chief -X- _ O
Insp -X- _ O
Christian -X- _ B-PER
Torres -X- _ I-PER
, -X- _ O
nga -X- _ O
nahinabi -X- _ O
sa -X- _ O
Superba­lita -X- _ B-ORG
nagkanayon -X- _ O
nga -X- _ O
mga -X- _ O
alas -X- _ O
8:10 -X- _ O
sa -X- _ O
gabii -X- _ O
Disyembre -X- _ O
25 -X- _ O
, -X- _ O
giingong -X- _ O
hubog -X- _ O
ang -X- _ O
guwardiya -X- _ O
nga -X- _ O
si -X- _ O
Ornopia -X- _ B-PER
nga -X- _ O
nagmaniho -X- _ O
sa -X- _ O
iyang -X- _ O
motorsiklo -X- _ O
. -X- _ O

Ang -X- _ O
guwardiya -X- _ O
padulong -X- _ O
moduty -X- _ O
sa -X- _ O
Liloan -X- _ B-LOC
, -X- _ O
gikasugat -X- _ O
niini -X- _ O
ang -X- _ O
gisakyan -X- _ O
sa -X- _ O
biktima -X- _ O
. -X- _ O

Ang -X- _ O
guwardiya -X- _ O
tungod -X- _ O
kay -X- _ O
hubog -X- _ O
kusog -X- _ O
nakapadagan -X- _ O
wala -X- _ O
na -X- _ O
mosubay -X- _ O
sa -X- _ O
lane -X- _ O
gidaro -X- _ O
ang -X- _ O
gisakyang -X- _ O
motorsiklong -X- _ O
gisakyan -X- _ O
sa -X- _ O
biktima -X- _ O
. -X- _ O

Gidali -X- _ O
sila -X- _ O
sa -X- _ O
pagdala -X- _ O
sa -X- _ O
tambalanan -X- _ O
pero -X- _ O
dead-on-arrival -X- _ O
ang -X- _ O
biktima -X- _ O
. -X- _ O

Mga -X- _ O
nabiktima -X- _ O
sa -X- _ O
sunog -X- _ O
sa -X- _ O
Barangay -X- _ B-LOC
Lawaan-3 -X- _ I-LOC
, -X- _ O
dakbayan -X- _ O
sa -X- _ O
Talisay -X- _ B-LOC
makadawat -X- _ O
og -X- _ O
financial -X- _ O
assistance -X- _ O
og -X- _ O
tag -X- _ O
P10 -X- _ O
mil -X- _ O
alang -X- _ O
niadtong -X- _ O
maoy -X- _ O
tag-iya -X- _ O
sa -X- _ O
balay -X- _ O
nga -X- _ O
hingpit -X- _ O
nga -X- _ O
naugdaw -X- _ O
. -X- _ O

Kahinomduman -X- _ O
pipila -X- _ O
ka -X- _ O
oras -X- _ O
sa -X- _ O
wala -X- _ O
pa -X- _ O
ang -X- _ O
pagsaulog -X- _ O
sa -X- _ O
Pasko -X- _ O
usa -X- _ O
