-DOCSTART- -X- O
BPI -X- _ B-ORG
gawas -X- _ O
ga -X- _ O
tindog -X- _ O
Wala -X- _ O
ko -X- _ O
kabalo -X- _ O
unsa -X- _ O
juy -X- _ O
violation -X- _ O
ani -X- _ O
niya -X- _ O
but -X- _ O
curious -X- _ O
lang -X- _ O
ko -X- _ O
, -X- _ O
possible -X- _ O
diay -X- _ O
ma -X- _ O
ticketan -X- _ O
ang -X- _ O
nangolekta -X- _ O
ug -X- _ O
basura -X- _ O
? -X- _ O
( -X- _ O
white -X- _ O
pick -X- _ O
up -X- _ O
) -X- _ O
On -X- _ O
the -X- _ O
other -X- _ O
side -X- _ O
, -X- _ O
same -X- _ O
time -X- _ O
sa -X- _ O
panghitabo -X- _ O
, -X- _ O
wala -X- _ O
gani -X- _ O
nila -X- _ O
ticketi -X- _ O
ang -X- _ O
usa -X- _ O
ka -X- _ O
sakyanan -X- _ O
nga -X- _ O
naas -X- _ O
tunga -X- _ O
sa -X- _ O
kalsada -X- _ O
... -X- _ O
... -X- _ O
which -X- _ O
is -X- _ O
naka -X- _ O
cause -X- _ O
ug -X- _ O
traffic -X- _ O

Luoya -X- _ O
sa -X- _ O
driver -X- _ O
. -X- _ O

Diba -X- _ O
Gender -X- _ O
neutral -X- _ O
man -X- _ O
jud -X- _ O
ang -X- _ O
Toga -X- _ O
? -X- _ O
Unsay -X- _ O
kailangan -X- _ O
usbon -X- _ O
nga -X- _ O
pwede -X- _ O
man -X- _ O
gud -X- _ O
siya -X- _ O
for -X- _ O
Male -X- _ O
and -X- _ O
Female -X- _ O
nga -X- _ O
mu -X- _ O
graduate -X- _ O
? -X- _ O
Let -X- _ O
us -X- _ O
not -X- _ O
be -X- _ O
influence -X- _ O
by -X- _ O
western -X- _ O
ideology -X- _ O
but -X- _ O
be -X- _ O
proud -X- _ O
of -X- _ O
what -X- _ O
we -X- _ O
have -X- _ O
in -X- _ O
culture -X- _ O
and -X- _ O
tradition. -X- _ O
Congrats -X- _ O
sa -X- _ O
nang -X- _ O
graduate -X- _ O
be -X- _ O
the -X- _ O
future -X- _ O
be -X- _ O
the -X- _ O
best -X- _ O
as -X- _ O
what -X- _ O
Philippines -X- _ B-LOC
can -X- _ O
be -X- _ O
. -X- _ O

# -X- _ O
Dumashares -X- _ O
Truck -X- _ O
collision -X- _ O
in -X- _ O
Brgy. -X- _ B-LOC
Mayabon -X- _ I-LOC
Zamboanguita. -X- _ I-LOC
Zamboanguita -X- _ B-ORG
PNP -X- _ I-ORG
immediately -X- _ O
responded -X- _ O
the -X- _ O
incident. -X- _ O
Matod -X- _ O
pa -X- _ O
sa -X- _ O
ato'ng -X- _ O
pakig-hinabi -X- _ O
, -X- _ O
nawad-on -X- _ O
ug -X- _ O
prino -X- _ O
ang -X- _ O
mao'ng -X- _ O
truck -X- _ O
hinungdan -X- _ O
ni-dasmag -X- _ O
kini -X- _ O
sa -X- _ O
may -X- _ O
gemelina -X- _ O
ug -X- _ O
na-among -X- _ O
ang -X- _ O
lai'ng -X- _ O
naka-sugata -X- _ O
nga -X- _ O
truck. -X- _ O
Gerome -X- _ O
Jaboni -X- _ O

Maka -X- _ O
intriga -X- _ O
pod -X- _ O
ni -X- _ O
sa -X- _ O
maritest -X- _ O
skills -X- _ O
nato -X- _ O
. -X- _ O

Nakit.an -X- _ O
naba -X- _ O
ni -X- _ O
? -X- _ O
Lost -X- _ O
Dog -X- _ O
, -X- _ O
near -X- _ O
Science -X- _ B-LOC
High -X- _ I-LOC
School -X- _ I-LOC
area -X- _ O
, -X- _ O
along -X- _ O
St. -X- _ B-LOC
Peter -X- _ I-LOC
& -X- _ I-LOC
St. -X- _ I-LOC
Ignatius -X- _ I-LOC
Streets. -X- _ I-LOC
by -X- _ O
Ron -X- _ B-PER
Bacs -X- _ I-PER

Ang -X- _ O
bag.ung -X- _ O
megamall -X- _ O
sa -X- _ O
dakpayan -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
! -X- _ O
Ang -X- _ O
New -X- _ O
Unitop -X- _ B-LOC
mall -X- _ O
10 -X- _ O
times -X- _ O
bigger -X- _ O
than -X- _ O
what -X- _ O
we -X- _ O
previously -X- _ O
had -X- _ O
in -X- _ O
Dumaguete. -X- _ B-LOC
But -X- _ O
did -X- _ O
you -X- _ O
know -X- _ O
around -X- _ O
the -X- _ O
Philippines -X- _ B-LOC
they -X- _ O
already -X- _ O
have -X- _ O
bigger -X- _ O
Unitops -X- _ B-LOC
mall -X- _ O
, -X- _ O
only -X- _ O
dire -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
did -X- _ O
we -X- _ O
have -X- _ O
the -X- _ O
smaller -X- _ O
version -X- _ O
sa -X- _ O
ilang -X- _ O
tindahan. -X- _ O
Soft -X- _ O
openning -X- _ O
karong -X- _ O
June -X- _ O
9 -X- _ O
so -X- _ O
if -X- _ O
ganahan -X- _ O
mu -X- _ O
avoid -X- _ O
ug -X- _ O
traffic -X- _ O
ayaw -X- _ O
lang -X- _ O
sa -X- _ O
ug -X- _ O
agi -X- _ O
sa -X- _ O
tiangge -X- _ O
, -X- _ O
likod -X- _ O
FU -X- _ B-LOC
ug -X- _ O
colon -X- _ B-LOC
ext. -X- _ I-LOC
Reginald -X- _ O
Aragones -X- _ O

Mga -X- _ O
linya -X- _ O
sa -X- _ O
scammers -X- _ O
nga -X- _ O
nagka -X- _ O
daghan -X- _ O
na -X- _ O
especially -X- _ O
dire -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
city -X- _ I-LOC
. -X- _ O

Ayaw -X- _ O
koya -X- _ O

Kana -X- _ O
bang -X- _ O
abi -X- _ O
nimug -X- _ O
basket -X- _ O
ra -X- _ O
imung -X- _ O
gi -X- _ O
tan.aw -X- _ O
nya -X- _ O
bonus -X- _ O
kay -X- _ O
naampod -X- _ O
diay -X- _ O
royal -X- _ O
rumble -X- _ O
. -X- _ O

Strickto -X- _ O
nis -X- _ O
first -X- _ O
week -X- _ O
! -X- _ O
Second -X- _ O
week -X- _ O
mejo -X- _ O
manakop -X- _ O
pa -X- _ O
! -X- _ O
Third -X- _ O
week -X- _ O
mangape -X- _ O
nas -X- _ O
tiangge -X- _ O
! -X- _ O
? -X- _ O
The -X- _ O
power -X- _ O
of -X- _ O
Dumaguete -X- _ B-LOC
enforcement -X- _ O
! -X- _ O
? -X- _ O
? -X- _ O

Naa -X- _ O
tay -X- _ O
ing.ani -X- _ O
sa -X- _ O
Dumaguete. -X- _ B-LOC
Ma -X- _ O
dakpan -X- _ O
my -X- _ O
hilak -X- _ O
baaah -X- _ O

Imagine -X- _ O
pa -X- _ O
byahe -X- _ O
kag -X- _ O
Cebu -X- _ B-LOC
ani -X- _ O
. -X- _ O

Pa -X- _ O
shout -X- _ O
out -X- _ O
nalang -X- _ O
sa -X- _ O
mga -X- _ O
biktima -X- _ O

Admin -X- _ O
maaung -X- _ O
hapon -X- _ O
na -X- _ O
kawat -X- _ O
akung -X- _ O
cellphone -X- _ O
this -X- _ O
morning -X- _ O
sa -X- _ O
boulevard -X- _ B-LOC
Jerrys -X- _ I-LOC
dapit. -X- _ O
Pang -X- _ O
spread -X- _ O
rakog -X- _ O
awareness -X- _ O
basin -X- _ O
nay -X- _ O
naka -X- _ O
kita -X- _ O
admin. -X- _ O
Mu -X- _ O
hatag -X- _ O
rakog -X- _ O
reward -X- _ O
please -X- _ O
rako -X- _ O
pa -X- _ O
contact -X- _ O
Jeben -X- _ B-PER
Taob -X- _ I-PER
09061005118 -X- _ O

Coming -X- _ O
from -X- _ O
sender -X- _ O
Need -X- _ O
nato -X- _ O
e -X- _ O
priotize -X- _ O
ang -X- _ O
school -X- _ O
zone -X- _ O
slowdown -X- _ O
within -X- _ O
national -X- _ B-LOC
highway -X- _ I-LOC
and -X- _ O
anywhere -X- _ O
naay -X- _ O
school -X- _ O
zone -X- _ O
and -X- _ O
also -X- _ O
re -X- _ O
affirm -X- _ O
to -X- _ O
educate -X- _ O
children -X- _ O
of -X- _ O
looking -X- _ O
left -X- _ O
and -X- _ O
right -X- _ O
once -X- _ O
crossing -X- _ O
the -X- _ O
street -X- _ O
within -X- _ O
the -X- _ O
school -X- _ O
system. -X- _ O
" -X- _ O
Nikalit -X- _ O
daw -X- _ O
labang -X- _ O
Ang -X- _ O
bata -X- _ O
na -X- _ O
abtan -X- _ O
sa -X- _ O
ga -X- _ O
motor -X- _ O
looy -X- _ O
kaayo -X- _ O
pud -X- _ O
Ang -X- _ O
rider -X- _ O
sir -X- _ O
" -X- _ O

Expect -X- _ O
nalang -X- _ O
tas -X- _ O
Sabado -X- _ O
mag -X- _ O
ulan -X- _ O
ulan -X- _ O
. -X- _ O

Royal -X- _ B-MISC
daun -X- _ O
gi -X- _ O
palit -X- _ O
. -X- _ O

Goodmorning -X- _ O
admin -X- _ O
, -X- _ O
permission -X- _ O
to -X- _ O
post -X- _ O
po. -X- _ O
Naa -X- _ O
mi -X- _ O
nakit-an -X- _ O
nga -X- _ O
PASSBOOK -X- _ O
ni -X- _ O
BERNABE -X- _ B-PER
ROMANO -X- _ I-PER
CADAYONA -X- _ I-PER
taga -X- _ O
SITIO -X- _ B-LOC
SANLAGAN -X- _ I-LOC
, -X- _ I-LOC
OKIOT -X- _ I-LOC
, -X- _ I-LOC
BAIS -X- _ I-LOC
, -X- _ I-LOC
NEGROS -X- _ I-LOC
ORIENTAL. -X- _ I-LOC
Mamalihog -X- _ O
mi -X- _ O
kung -X- _ O
kinsa -X- _ O
ang -X- _ O
nakaila -X- _ O
ani -X- _ O
niya. -X- _ O
Pwde -X- _ O
niya -X- _ O
iclain -X- _ O
ang -X- _ O
iyang -X- _ O
PASSBOOK -X- _ O
sa -X- _ O
F -X- _ B-LOC
& -X- _ I-LOC
FO -X- _ I-LOC
MOTOR -X- _ I-LOC
PARTS -X- _ I-LOC
VILLA -X- _ I-LOC
AMADA -X- _ I-LOC
near -X- _ O
Wheeltek -X- _ B-LOC
og -X- _ O
Qualfon. -X- _ B-LOC
Thank -X- _ O
you -X- _ O
. -X- _ O

Kana -X- _ O
ganeng -X- _ O
naka -X- _ O
car -X- _ O
raka -X- _ O
but -X- _ O
wala -X- _ O
japon -X- _ O
kay -X- _ O
buot -X- _ O
. -X- _ O

Daghan -X- _ O
naman -X- _ O
gud -X- _ O
inchek -X- _ B-MISC
nationals -X- _ O
dire -X- _ O
sa -X- _ O
Pinas -X- _ B-LOC
mura -X- _ O
ganeg -X- _ O
kinsa -X- _ O
nang -X- _ O
uban -X- _ O
. -X- _ O

Good -X- _ O
Morning -X- _ O
Everyone -X- _ O
! -X- _ O
Basi -X- _ O
naa -X- _ O
nakakita -X- _ O
Brown -X- _ O
Wallet -X- _ O
, -X- _ O
RRJ -X- _ B-MISC
na -X- _ O
brand. -X- _ O
May -X- _ O
16 -X- _ O
, -X- _ O
2023 -X- _ O
around -X- _ O
5:40pm -X- _ O
, -X- _ O
Dumaguete-Dauin -X- _ B-LOC
na -X- _ O
route -X- _ O
, -X- _ O
vice -X- _ O
versa. -X- _ O
Naa -X- _ O
didto -X- _ O
ang -X- _ O
Driver -X- _ O
's -X- _ O
License -X- _ O
, -X- _ O
cash -X- _ O
, -X- _ O
rehistro -X- _ O
sa -X- _ O
motor -X- _ O
and -X- _ O
other -X- _ O
Stuff -X- _ O
ni -X- _ O
Vincent -X- _ B-PER
Marlon -X- _ I-PER
Macadildig. -X- _ I-PER
PLEASE -X- _ O
CONTACT -X- _ O
ME -X- _ O
/ -X- _ O
US -X- _ O
IF -X- _ O
EVER -X- _ O
NAA -X- _ O
MO -X- _ O
MAKIT.AN. -X- _ O
THANK -X- _ O
YOU -X- _ O
SO -X- _ O
MUCH -X- _ O
! -X- _ O
Pwede -X- _ O
ko -X- _ O
ninyo -X- _ O
ma -X- _ O
PM -X- _ O
sa -X- _ O
messenger -X- _ O
or -X- _ O
call -X- _ O
/ -X- _ O
text -X- _ O
ani -X- _ O
nga -X- _ O
number -X- _ O
09637396116 -X- _ O

Tsk -X- _ O
tsk -X- _ O
tsk -X- _ O
... -X- _ O
looyas -X- _ O
mga -X- _ O
school -X- _ O
heads -X- _ O
... -X- _ O
disgrasya -X- _ O
going -X- _ O
to -X- _ O
Capipines -X- _ B-LOC
, -X- _ I-LOC
Bindoy -X- _ I-LOC
kay -X- _ O
na -X- _ O
tangtang -X- _ O
ang -X- _ O
ligid -X- _ O
sa -X- _ O
karaang -X- _ O
sakyanan -X- _ O
sa -X- _ O
LGU -X- _ B-ORG
! -X- _ O
Salamat -X- _ O
sa -X- _ O
mga -X- _ O
ma -X- _ O
abtikon -X- _ O
nga -X- _ O
Recue -X- _ O
Team..dali -X- _ O
ra -X- _ O
sila -X- _ O
nka -X- _ O
angat -X- _ O
sa -X- _ O
bukid -X- _ O
kay -X- _ O
nindot -X- _ O
na -X- _ O
kaayo -X- _ O
ang -X- _ O
mga -X- _ O
karsada -X- _ O
sa -X- _ O
kabukiran -X- _ O
sa -X- _ O
Bindoy -X- _ B-LOC
! -X- _ O

MISSING -X- _ O
DOG -X- _ O
To -X- _ O
anyone -X- _ O
living -X- _ O
in -X- _ O
Taclobo -X- _ B-LOC
, -X- _ I-LOC
Bag-ong -X- _ I-LOC
Dalan -X- _ I-LOC
or -X- _ O
Purok -X- _ B-LOC
Santan -X- _ I-LOC
Area. -X- _ O
Please -X- _ O
see -X- _ O
below -X- _ O
a -X- _ O
photo -X- _ O
of -X- _ O
our -X- _ O
missing -X- _ O
dog. -X- _ O
A -X- _ O
simple -X- _ O
share -X- _ O
to -X- _ O
this -X- _ O
post -X- _ O
can -X- _ O
go -X- _ O
a -X- _ O
long -X- _ O
way -X- _ O
, -X- _ O
please -X- _ O
help -X- _ O
us -X- _ O
bring -X- _ O
our -X- _ O
boy -X- _ O
home. -X- _ O
Thank -X- _ O
you -X- _ O
! -X- _ O
Name -X- _ O
: -X- _ O
Adbin -X- _ B-MISC
Breed -X- _ O
: -X- _ O
Shitzu -X- _ B-MISC
Color -X- _ O
: -X- _ O
Tricolor -X- _ O
( -X- _ O
white -X- _ O
, -X- _ O
brown -X- _ O
, -X- _ O
black -X- _ O
) -X- _ O
Collar -X- _ O
: -X- _ O
SANDUGO -X- _ O
Nakagawas -X- _ O
sa -X- _ O
gate -X- _ O
around -X- _ O
2pm -X- _ O
Saturday -X- _ O
May -X- _ O
13 -X- _ O
, -X- _ O
then -X- _ O
nidalagan -X- _ O
diretso -X- _ O
paguwas -X- _ O
wala -X- _ O
na -X- _ O
nasundan -X- _ O
last -X- _ O
seen -X- _ O
Crossing -X- _ B-LOC
Taclobo -X- _ I-LOC
area. -X- _ O
Basin -X- _ O
naay -X- _ O
makakita -X- _ O
please -X- _ O
mi -X- _ O
help -X- _ O
kay -X- _ O
naguol -X- _ O
na -X- _ O
among -X- _ O
lola -X- _ O
pinangita -X- _ O
palangga -X- _ O
kaayo -X- _ O
to -X- _ O
niya. -X- _ O
Muhatag -X- _ O
lang -X- _ O
mi -X- _ O
ug -X- _ O
gamayng -X- _ O
pahalipay -X- _ O
sa -X- _ O
makakita -X- _ O
or -X- _ O
makauli -X- _ O
sa -X- _ O
among -X- _ O
dog. -X- _ O
Please -X- _ O
contact -X- _ O
09154156973 -X- _ O
or -X- _ O
09354448371 -X- _ O
sa -X- _ O
mga -X- _ O
naay -X- _ O
info. -X- _ O
Salamat -X- _ O
admins -X- _ O
ug -X- _ O
salamat -X- _ O
sa -X- _ O
tanan -X- _ O
mag -X- _ O
share. -X- _ O
Godbless -X- _ O
! -X- _ O

For -X- _ O
further -X- _ O
education -X- _ O
para -X- _ O
sa -X- _ O
atung -X- _ O
mga -X- _ O
instant -X- _ O
disensya -X- _ O
dire -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
city -X- _ I-LOC
. -X- _ O

Hello -X- _ O
Ma'am -X- _ O
/ -X- _ O
Sir -X- _ O
good -X- _ O
evening. -X- _ O
Hangyo -X- _ O
langko -X- _ O
daan -X- _ O
na -X- _ O
ianonymous -X- _ O
ra -X- _ O
ko. -X- _ O
Unhan -X- _ O
na -X- _ O
nako -X- _ O
daan -X- _ O
ang -X- _ O
tanan -X- _ O
, -X- _ O
nga -X- _ O
DILI -X- _ O
NI -X- _ O
PANGDAOT -X- _ O
, -X- _ O
KUNDI -X- _ O
PARA -X- _ O
MA -X- _ O
AWARE -X- _ O
MO -X- _ O
DIHA -X- _ O
TANAN. -X- _ O
Kay -X- _ O
bisan -X- _ O
pag -X- _ O
unsa -X- _ O
mo -X- _ O
ka -X- _ O
busy -X- _ O
diha -X- _ O
, -X- _ O
inyoha -X- _ O
gihapon -X- _ O
nga -X- _ O
OBLIGASYON -X- _ O
na -X- _ O
ipabiling -X- _ O
LIMPYO -X- _ O
ang -X- _ O
inyong -X- _ O
ginabaligya. -X- _ O
So -X- _ O
maoto -X- _ O
, -X- _ O
pa -X- _ O
shout -X- _ O
out -X- _ O
lang -X- _ O
unta -X- _ O
sa -X- _ O
TANANG -X- _ O
namaligya -X- _ O
ug -X- _ O
GINABOT -X- _ O
diha -X- _ O
sa -X- _ O
CHEESE -X- _ B-LOC
STICK -X- _ I-LOC
COUNTRY -X- _ I-LOC
na -X- _ O
unta -X- _ O
ilang -X- _ O
icheck -X- _ O
kanunay -X- _ O
ilang -X- _ O
stante -X- _ O
/ -X- _ O
sulodlan -X- _ O
sa -X- _ O
ilang -X- _ O
mga -X- _ O
baligya. -X- _ O
Kay -X- _ O
diha -X- _ O
mi -X- _ O
ganiha -X- _ O
, -X- _ O
unya -X- _ O
diay -X- _ O
DAKO -X- _ O
KAAYONG -X- _ O
LAGONG -X- _ O
ang -X- _ O
ga -X- _ O
hinambid -X- _ O
sulod -X- _ O
sa -X- _ O
stante. -X- _ O
Sure -X- _ O
gyud -X- _ O
ko -X- _ O
nga -X- _ O
ganiha -X- _ O
ra -X- _ O
naa -X- _ O
sa -X- _ O
sulod -X- _ O
ang -X- _ O
maong -X- _ O
LAGONG -X- _ O
kay -X- _ O
ang -X- _ O
GINABOT -X- _ O
na -X- _ O
ITLOGAN -X- _ O
NA -X- _ O
SA -X- _ O
LAGONG. -X- _ O
Clear -X- _ O
kaayo -X- _ O
ang -X- _ O
glass -X- _ O
, -X- _ O
so -X- _ O
klaro -X- _ O
kaayo -X- _ O
gyud -X- _ O
ang -X- _ O
itlog -X- _ O
sa -X- _ O
LAGONG. -X- _ O
Sa -X- _ O
wa -X- _ O
kaila -X- _ O
unsay -X- _ O
LAGONG -X- _ O
, -X- _ O
ANTYKUL -X- _ O
na -X- _ O
sya -X- _ O
sa -X- _ O
LANGAW. -X- _ O
Before -X- _ O
diay -X- _ O
namo -X- _ O
nakit -X- _ O
an -X- _ O
ang -X- _ O
itlog -X- _ O
sa -X- _ O
maong -X- _ O
LAGONG -X- _ O
, -X- _ O
amo -X- _ O
diay -X- _ O
giingnan -X- _ O
ang -X- _ O
tindera -X- _ O
nga -X- _ O
naay -X- _ O
LAGONG -X- _ O
sa -X- _ O
sulod. -X- _ O
Din -X- _ O
while -X- _ O
ga -X- _ O
duha2 -X- _ O
nami -X- _ O
mo -X- _ O
order -X- _ O
, -X- _ O
usa -X- _ O
pa -X- _ O
namo -X- _ O
nakit -X- _ O
an -X- _ O
ang -X- _ O
ITLOG -X- _ O
sa -X- _ O
LAGONG -X- _ O
ug -X- _ O
wala -X- _ O
nagyud -X- _ O
mi -X- _ O
nidayun. -X- _ O
Nilakaw -X- _ O
mi -X- _ O
, -X- _ O
ng -X- _ O
tuyok -X- _ O
para -X- _ O
d -X- _ O
ra -X- _ O
kaayo -X- _ O
insulto -X- _ O
sa -X- _ O
ilaha. -X- _ O
Didto -X- _ O
nami -X- _ O
gawas -X- _ O
balik -X- _ O
sa -X- _ O
may -X- _ O
Silliman -X- _ B-LOC
Beach -X- _ I-LOC
na -X- _ O
kalsada -X- _ O
, -X- _ O
so -X- _ O
ky -X- _ O
ganahan -X- _ O
man -X- _ O
ko -X- _ O
mukaon -X- _ O
gyud -X- _ O
ug -X- _ O
GINABOT -X- _ O
